directorId,directorName,movieId
98385,Chuck Vincent,117510
24886,Frédéric Forestier,139156
15389,Louis Malle,112633
117773,S. Sylvan Simon,90465
29744,John Hayes,86210
141065,Alfred J. Goulding,42362
1525408,Sara Fishko,364865
80602,Tyler Perry,103370
499981,Nic Auerbach,38156
59,Luc Besson,175
8500,John Ford,61934
11434,Wilfred Jackson,10693
40187,David Lowell Rich,33543
9994,Helen Hunt,13196
76998,James Marsh,20021
937007,Miguel Ferrari,168379
935159,Keith Miller,261815
567559,Kurt Engfehr,72914
150127,Pang Eun-jin,138665
2636,Alfred Hitchcock,48133
12329,Vittorio De Sica,61464
1299424,Lawrence Jordan,13589
939406,Elan Gale,91325
1308987,Dan Sickles,264164
1041408,Ravi Kapoor,326256
989687,Jordan Galland,323665
124919,Pantelis Voulgaris,228339
150964,Jeff Krulik,54642
227824,Hans-Jürgen Syberberg,176167
112914,David DeFalco,39914
233331,Arthur Barron,61574
587559,David Hickson,79570
61797,Yahoo Serious,44664
179236,Patrick Archibald,13647
143036,Wu Nien-Jen,163202
56359,Lexi Alexander,75910
130945,Montgomery Tully,51136
103586,Simon Shore,24584
229307,Ounie Lecomte,48508
15254,Emir Kusturica,11902
10001,William Wyler,43358
1064513,Kazuhisa Takenouchi,116776
937340,Harold Cronk,347126
70862,Richard Thorpe,91419
103699,Gary Yates,396392
33008,Menahem Golan,16113
20600,Daniel Taradash,45239
